 Time (days),LWP,stom_conduct,rsoil,rplant
1.00,-.1426022,1.7304411,.0000000,.0000000
1.01,-.1456047,1.7314342,.0000000,.0000000
1.02,-.1483763,1.7305608,.0000000,.0000000
1.03,-.1475188,1.7303166,.0000000,.0000000
1.04,-.1499438,1.7311856,.0000000,.0000000
1.05,-.1520333,1.7313097,.0000000,.0000000
1.06,-.1538409,1.7313031,.0000000,.0000000
1.07,-.1521961,1.7310606,.0000000,.0000000
1.08,-.1539695,1.7309365,.0000000,.0000000
1.09,-.1555946,1.7321624,.0000000,.0000000
1.10,-.1536976,1.7321790,.0000000,.0000000
1.11,-.1552450,1.7314329,.0000000,.0000000
1.12,-.1567378,1.7298915,.0000000,.0000000
1.14,-.1548075,1.7303157,.0000000,.0000000
1.15,-.1562256,1.7315575,.0000000,.0000000
1.16,-.1574796,1.7321790,.0000000,.0000000
1.17,-.1585354,1.7320544,.0000000,.0000000
1.18,-.1594859,1.7318239,.0000000,.0000000
1.19,-.1570863,1.7317433,.0000000,.0000000
1.20,-.1582011,1.7316753,.0000000,.0000000
1.21,-.1559500,1.7318056,.0000000,.0000000
1.22,-.1572466,1.7314048,.0000000,.0000000
1.23,-.1551884,1.7313515,.0000000,.0000000
1.24,-.1532322,1.7324274,.0000000,.0000000
1.25,-.1547331,1.7327384,.0000000,.0000000
1.26,-.1560698,1.7330844,.0000000,.0000000
1.27,-.1572418,1.7332987,.0000000,.0000000
1.28,-.1582776,1.7333609,.0000000,.0000000
1.29,-.1591977,1.7333146,.0000000,.0000000
1.30,-.1600115,1.7336886,.0000000,.0000000
1.31,-.1607269,1.7336614,.0000000,.0000000
1.32,-.1613775,1.7337379,.0000000,.0000000
1.33,-.1588646,6.0469580,.0000000,.0000000
1.34,-.1566397,6.0357304,.0000000,.0000000
1.35,-.1546695,13.5995846,.0000000,.0000000
1.36,-.1529240,17.4776382,.0000000,.0000000
1.38,-.1513773,21.2129936,.0000000,.0000000
1.39,-.1500062,28.3833981,.0000000,.0000000
1.40,-.1487908,47.8065186,.0000000,.0000000
1.41,-.1477138,34.6256790,.0000000,.0000000
1.42,-.1482712,56.3512917,.0000000,.0000000
1.43,-.1493071,59.3053284,.0000000,.0000000
1.44,-.1520101,59.9648323,.0000000,.0000000
1.45,-.1553113,67.0905685,.0000000,.0000000
1.46,-.1622263,66.5005951,.0000000,.0000000
1.47,-.1732763,66.4668198,.0000000,.0000000
1.48,-.1939964,83.9152603,.0000000,.0000000
1.49,-.2007706,55.0049591,.0000000,.0000000
1.50,-.2105772,66.9317780,.0000000,.0000000
