 Time (days),LWP,stom_conduct,rsoil,rplant
1.00,-.1819392,1.7294914,.0000000,.0000000
1.01,-.1849999,1.7304848,.0000000,.0000000
1.02,-.1877709,1.7301379,.0000000,.0000000
1.03,-.1870091,1.7293668,.0000000,.0000000
1.04,-.1894810,1.7302362,.0000000,.0000000
1.05,-.1916150,1.7303603,.0000000,.0000000
1.06,-.1934580,1.7304146,.0000000,.0000000
1.07,-.1918894,1.7301117,.0000000,.0000000
1.08,-.1936924,1.7299871,.0000000,.0000000
1.09,-.1953192,1.7314532,.0000000,.0000000
1.10,-.1934872,1.7312304,.0000000,.0000000
1.11,-.1950544,1.7304841,.0000000,.0000000
1.12,-.1965567,1.7290529,.0000000,.0000000
1.14,-.1946842,1.7293665,.0000000,.0000000
1.15,-.1961133,1.7306087,.0000000,.0000000
1.16,-.1973784,1.7312304,.0000000,.0000000
1.17,-.1984456,1.7311059,.0000000,.0000000
1.18,-.1993996,1.7309536,.0000000,.0000000
1.19,-.1970488,1.7307948,.0000000,.0000000
1.20,-.1981612,1.7307873,.0000000,.0000000
1.21,-.1959520,1.7308570,.0000000,.0000000
1.22,-.1972175,1.7307303,.0000000,.0000000
1.23,-.1951609,1.7307606,.0000000,.0000000
1.24,-.1932403,1.7314790,.0000000,.0000000
1.25,-.1947336,1.7317903,.0000000,.0000000
1.26,-.1960609,1.7321777,.0000000,.0000000
1.27,-.1972303,1.7323507,.0000000,.0000000
1.28,-.1982653,1.7324129,.0000000,.0000000
1.29,-.1991839,1.7323881,.0000000,.0000000
1.30,-.1999972,1.7327619,.0000000,.0000000
1.31,-.2007148,1.7327186,.0000000,.0000000
1.32,-.2013600,1.7328756,.0000000,.0000000
1.33,-.1987885,6.0245633,.0000000,.0000000
1.34,-.1965084,6.0072346,.0000000,.0000000
1.35,-.1944866,14.2019415,.0000000,.0000000
1.36,-.1926929,18.3555775,.0000000,.0000000
1.38,-.1911013,22.7911224,.0000000,.0000000
1.39,-.1896886,28.7588120,.0000000,.0000000
1.40,-.1884976,53.3806229,.0000000,.0000000
1.41,-.1883723,36.9870529,.0000000,.0000000
1.42,-.1898297,60.4299965,.0000000,.0000000
1.43,-.1914764,64.5018463,.0000000,.0000000
1.44,-.1948343,66.7263870,.0000000,.0000000
1.45,-.1987988,73.9807129,.0000000,.0000000
1.46,-.2065118,71.9435883,.0000000,.0000000
1.47,-.2194193,71.3711090,.0000000,.0000000
1.48,-.2415531,93.6328888,.0000000,.0000000
1.49,-.2495840,58.3036728,.0000000,.0000000
1.50,-.2602882,73.5971527,.0000000,.0000000
1.51,-.2620521,46.8741951,.0000000,.0000000
1.52,-.2628419,47.0964737,.0000000,.0000000
1.53,-.2765975,83.2446747,.0000000,.0000000
1.54,-.2875809,77.7080231,.0000000,.0000000
1.55,-.2837715,53.1085281,.0000000,.0000000
1.56,-.2793726,58.3953476,.0000000,.0000000
1.57,-.2806705,76.7520294,.0000000,.0000000
1.58,-.2825292,81.9948654,.0000000,.0000000
1.59,-.2811669,65.8729095,.0000000,.0000000
1.60,-.2735293,34.1180153,.0000000,.0000000
1.61,-.2631255,10.1174793,.0000000,.0000000
1.62,-.2536129,6.0455933,.0000000,.0000000
1.64,-.2452426,10.1359959,.0000000,.0000000
1.65,-.2375900,15.0295172,.0000000,.0000000
1.66,-.2308137,21.7296638,.0000000,.0000000
1.67,-.2248128,5.2165198,.0000000,.0000000
1.68,-.2194992,5.7744288,.0000000,.0000000
1.69,-.2147942,5.4977183,.0000000,.0000000
1.70,-.2138667,1.7310688,.0000000,.0000000
1.71,-.2098048,1.7323214,.0000000,.0000000
