 Time (days),LWP,stom_conduct,rsoil,rplant
1.00,-.1229048,1.7311821,873871360.0000000,.0000000
1.01,-.1258542,1.7321751,873871360.0000000,.0000000
1.02,-.1286188,1.7308979,873871360.0000000,.0000000
1.03,-.1276934,1.7310576,873871360.0000000,.0000000
1.04,-.1300770,1.7319263,873871360.0000000,.0000000
1.05,-.1321288,1.7320501,873871360.0000000,.0000000
1.06,-.1339065,1.7319980,873871360.0000000,.0000000
1.07,-.1322116,1.7318010,873871360.0000000,.0000000
1.08,-.1339594,1.7316767,873871360.0000000,.0000000
1.09,-.1355803,1.7327207,873871360.0000000,.0000000
1.10,-.1336423,1.7329193,873871360.0000000,.0000000
1.11,-.1351720,1.7321732,873871360.0000000,.0000000
1.12,-.1366554,1.7305489,873871360.0000000,.0000000
1.14,-.1346896,1.7310563,873871360.0000000,.0000000
1.15,-.1360966,1.7322977,873871360.0000000,.0000000
1.16,-.1373405,1.7329193,873871360.0000000,.0000000
1.17,-.1383864,1.7327943,873871360.0000000,.0000000
1.18,-.1393333,1.7325051,873871360.0000000,.0000000
1.19,-.1369059,1.7324834,873871360.0000000,.0000000
1.20,-.1380203,1.7323699,873871360.0000000,.0000000
1.21,-.1357456,1.7325456,873871360.0000000,.0000000
1.22,-.1370618,1.7319369,873871360.0000000,.0000000
1.23,-.1350090,1.7318195,873871360.0000000,.0000000
1.24,-.1330316,1.7331669,873871360.0000000,.0000000
1.25,-.1345333,1.7334781,873871360.0000000,.0000000
1.26,-.1358731,1.7337929,873871360.0000000,.0000000
1.27,-.1370440,1.7340386,873871360.0000000,.0000000
1.28,-.1380782,1.7341009,873871360.0000000,.0000000
1.29,-.1389977,1.7340382,873871360.0000000,.0000000
1.30,-.1398108,1.7344120,873871360.0000000,.0000000
1.31,-.1405237,1.7343972,873871360.0000000,.0000000
1.32,-.1411779,1.7344129,873871360.0000000,.0000000
1.33,-.1387196,6.0889711,873871360.0000000,.0000000
1.34,-.1365444,6.0805807,873871360.0000000,.0000000
1.35,-.1346196,13.6472435,873871360.0000000,.0000000
1.36,-.1329154,17.3112164,873871360.0000000,.0000000
1.38,-.1314063,19.8539352,873871360.0000000,.0000000
1.39,-.1300694,27.2395420,873871360.0000000,.0000000
1.40,-.1288850,45.2511673,873871360.0000000,.0000000
1.41,-.1278362,33.8373909,873871360.0000000,.0000000
1.42,-.1276823,52.9127884,873871360.0000000,.0000000
1.43,-.1281834,55.6350708,873871360.0000000,.0000000
1.44,-.1302645,56.6352692,873871360.0000000,.0000000
1.45,-.1328265,62.8822517,873871360.0000000,.0000000
1.46,-.1387551,60.8317642,873871360.0000000,.0000000
1.47,-.1488888,60.7236023,873871360.0000000,.0000000
1.48,-.1668177,75.3878937,873871360.0000000,.0000000
1.49,-.1730037,52.0983963,873871360.0000000,.0000000
