 Time (days),soilR,soilR1,soilR2,CSR(1),CSR(2),CSR(3),CSR(4),CSR(5)
1.58,5651.7060547,Inf,Inf,28.1465950,28.1465950,28.1465950,28.1465950,28.1465950
1.59,5651.7060547,Inf,Inf,28.1465950,28.1465950,28.1465950,28.1465950,28.1465950
1.60,5651.7060547,Inf,Inf,28.1465988,28.1465988,28.1465988,28.1465988,28.1465988
1.61,5651.7060547,Inf,Inf,28.1465912,28.1465912,28.1465912,28.1465912,28.1465912
1.62,5651.7060547,Inf,Inf,28.1465740,28.1465740,28.1465740,28.1465740,28.1465740
1.64,5651.7060547,Inf,Inf,28.1465530,28.1465530,28.1465530,28.1465530,28.1465530
1.65,5651.7060547,Inf,Inf,28.1465340,28.1465340,28.1465340,28.1465340,28.1465340
1.66,5651.7060547,Inf,Inf,28.1464882,28.1464882,28.1464882,28.1464882,28.1464882
1.67,5651.7060547,Inf,Inf,28.1464443,28.1464443,28.1464443,28.1464443,28.1464443
1.68,5651.7060547,Inf,Inf,28.1464119,28.1464119,28.1464119,28.1464119,28.1464119
1.69,5651.7060547,Inf,Inf,28.1463852,28.1463852,28.1463852,28.1463852,28.1463852
1.70,5651.7060547,Inf,Inf,28.1463852,28.1463852,28.1463852,28.1463852,28.1463852
1.71,5651.7060547,Inf,Inf,28.1463852,28.1463852,28.1463852,28.1463852,28.1463852
1.72,5651.7060547,Inf,Inf,28.1463585,28.1463585,28.1463585,28.1463585,28.1463585
1.73,5651.7060547,Inf,Inf,28.1463184,28.1463184,28.1463184,28.1463184,28.1463184
1.74,5651.7060547,Inf,Inf,28.1462917,28.1462917,28.1462917,28.1462917,28.1462917
1.75,5651.7060547,Inf,Inf,28.1462612,28.1462612,28.1462612,28.1462612,28.1462612
1.76,5651.7060547,Inf,Inf,28.1462345,28.1462345,28.1462345,28.1462345,28.1462345
1.77,5651.7060547,Inf,Inf,28.1462345,28.1462345,28.1462345,28.1462345,28.1462345
1.78,5651.7060547,Inf,Inf,28.1462345,28.1462345,28.1462345,28.1462345,28.1462345
1.79,5651.7060547,Inf,Inf,28.1462059,28.1462059,28.1462059,28.1462059,28.1462059
1.80,5651.7060547,Inf,Inf,28.1461735,28.1461735,28.1461735,28.1461735,28.1461735
1.81,5651.7060547,Inf,Inf,28.1461372,28.1461372,28.1461372,28.1461372,28.1461372
1.82,5651.7060547,Inf,Inf,28.1460972,28.1460972,28.1460972,28.1460972,28.1460972
1.83,5651.7060547,Inf,Inf,28.1460972,28.1460972,28.1460972,28.1460972,28.1460972
1.84,5651.7060547,Inf,Inf,28.1460972,28.1460972,28.1460972,28.1460972,28.1460972
1.85,5651.7060547,Inf,Inf,28.1460972,28.1460972,28.1460972,28.1460972,28.1460972
1.86,5651.7060547,Inf,Inf,28.1460972,28.1460972,28.1460972,28.1460972,28.1460972
1.88,5651.7060547,Inf,Inf,28.1460648,28.1460648,28.1460648,28.1460648,28.1460648
1.89,5651.7060547,Inf,Inf,28.1460667,28.1460667,28.1460667,28.1460667,28.1460667
1.90,5651.7060547,Inf,Inf,28.1460667,28.1460667,28.1460667,28.1460667,28.1460667
1.91,5651.7060547,Inf,Inf,28.1460304,28.1460304,28.1460304,28.1460304,28.1460304
1.92,5651.7060547,Inf,Inf,28.1459961,28.1459961,28.1459961,28.1459961,28.1459961
1.93,5651.7060547,Inf,Inf,28.1459656,28.1459656,28.1459656,28.1459656,28.1459656
1.94,5651.7060547,Inf,Inf,28.1459408,28.1459408,28.1459408,28.1459408,28.1459408
1.95,5651.7060547,Inf,Inf,28.1459141,28.1459141,28.1459141,28.1459141,28.1459141
1.96,5651.7060547,Inf,Inf,28.1458836,28.1458836,28.1458836,28.1458836,28.1458836
1.97,5651.7060547,Inf,Inf,28.1458549,28.1458549,28.1458549,28.1458549,28.1458549
1.98,5651.7060547,Inf,Inf,28.1458168,28.1458168,28.1458168,28.1458168,28.1458168
1.99,5651.7060547,Inf,Inf,28.1458168,28.1458168,28.1458168,28.1458168,28.1458168
2.00,5651.7060547,Inf,Inf,28.1458168,28.1458168,28.1458168,28.1458168,28.1458168
2.01,5638.7968750,Inf,Inf,28.0814896,28.0814896,28.0814896,28.0814896,28.0814896
2.02,5638.7968750,Inf,Inf,28.0814896,28.0814896,28.0814896,28.0814896,28.0814896
2.03,5638.7968750,Inf,Inf,28.0814896,28.0814896,28.0814896,28.0814896,28.0814896
2.04,5638.7968750,Inf,Inf,28.0814896,28.0814896,28.0814896,28.0814896,28.0814896
2.05,5638.7968750,Inf,Inf,28.0814686,28.0814686,28.0814686,28.0814686,28.0814686
2.06,5638.7968750,Inf,Inf,28.0814552,28.0814552,28.0814552,28.0814552,28.0814552
2.07,5638.7968750,Inf,Inf,28.0814304,28.0814304,28.0814304,28.0814304,28.0814304
2.08,5638.7968750,Inf,Inf,28.0814056,28.0814056,28.0814056,28.0814056,28.0814056
2.09,5638.7968750,Inf,Inf,28.0813904,28.0813904,28.0813904,28.0813904,28.0813904
2.10,5638.7968750,Inf,Inf,28.0813751,28.0813751,28.0813751,28.0813751,28.0813751
2.11,5638.7968750,Inf,Inf,28.0813580,28.0813580,28.0813580,28.0813580,28.0813580
2.12,5638.7968750,Inf,Inf,28.0813408,28.0813408,28.0813408,28.0813408,28.0813408
2.14,5638.7968750,Inf,Inf,28.0813255,28.0813255,28.0813255,28.0813255,28.0813255
2.15,5638.7968750,Inf,Inf,28.0813084,28.0813084,28.0813084,28.0813084,28.0813084
