 Time (days),LWP,stom_conduct,rsoil,rplant
1.00,-.1622788,1.7298931,.0000000,-58668137429162684930668921048006656.0000000
1.01,-.1653171,1.7308863,.0000000,-58668137429162684930668921048006656.0000000
1.02,-.1680904,1.7303156,.0000000,-58668137429162684930668921048006656.0000000
1.03,-.1672864,1.7297688,.0000000,-58668137429162684930668921048006656.0000000
1.04,-.1697399,1.7306379,.0000000,-58668137429162684930668921048006656.0000000
1.05,-.1718560,1.7307619,.0000000,-58668137429162684930668921048006656.0000000
1.06,-.1736848,1.7307901,.0000000,-58668137429162684930668921048006656.0000000
1.07,-.1720814,1.7305131,.0000000,-58668137429162684930668921048006656.0000000
1.08,-.1738727,1.7303889,.0000000,-58668137429162684930668921048006656.0000000
1.09,-.1754995,1.7317523,.0000000,-58668137429162684930668921048006656.0000000
1.10,-.1736373,1.7316316,.0000000,-58668137429162684930668921048006656.0000000
1.11,-.1751969,1.7308854,.0000000,-58668137429162684930668921048006656.0000000
1.12,-.1766958,1.7294073,.0000000,-58668137429162684930668921048006656.0000000
1.14,-.1747962,1.7297683,.0000000,-58668137429162684930668921048006656.0000000
1.15,-.1762214,1.7310100,.0000000,-58668137429162684930668921048006656.0000000
1.16,-.1774823,1.7316316,.0000000,-58668137429162684930668921048006656.0000000
1.17,-.1785450,1.7315072,.0000000,-58668137429162684930668921048006656.0000000
1.18,-.1794977,1.7313212,.0000000,-58668137429162684930668921048006656.0000000
1.19,-.1771235,1.7311960,.0000000,-58668137429162684930668921048006656.0000000
1.20,-.1782375,1.7311627,.0000000,-58668137429162684930668921048006656.0000000
1.21,-.1760082,1.7312583,.0000000,-58668137429162684930668921048006656.0000000
1.22,-.1772879,1.7310146,.0000000,-58668137429162684930668921048006656.0000000
1.23,-.1752287,1.7310095,.0000000,-58668137429162684930668921048006656.0000000
1.24,-.1732913,1.7318801,.0000000,-58668137429162684930668921048006656.0000000
1.25,-.1747893,1.7321913,.0000000,-58668137429162684930668921048006656.0000000
1.26,-.1761217,1.7325612,.0000000,-58668137429162684930668921048006656.0000000
1.27,-.1772932,1.7327518,.0000000,-58668137429162684930668921048006656.0000000
1.28,-.1783292,1.7328138,.0000000,-58668137429162684930668921048006656.0000000
1.29,-.1792489,1.7327797,.0000000,-58668137429162684930668921048006656.0000000
1.30,-.1800628,1.7331537,.0000000,-58668137429162684930668921048006656.0000000
1.31,-.1807797,1.7331175,.0000000,-58668137429162684930668921048006656.0000000
1.32,-.1814273,1.7332399,.0000000,-58668137429162684930668921048006656.0000000
1.33,-.1788780,6.0345936,.0000000,-58668137429162684930668921048006656.0000000
1.34,-.1766193,6.0209098,.0000000,-58668137429162684930668921048006656.0000000
1.35,-.1746178,13.8984833,.0000000,-58668137429162684930668921048006656.0000000
1.36,-.1728434,18.3595924,.0000000,-58668137429162684930668921048006656.0000000
1.38,-.1712700,21.9982376,.0000000,-58668137429162684930668921048006656.0000000
1.39,-.1698743,27.8612728,.0000000,-58668137429162684930668921048006656.0000000
1.40,-.1686363,51.1891022,.0000000,-58668137429162684930668921048006656.0000000
1.41,-.1680686,34.6205673,.0000000,-58668137429162684930668921048006656.0000000
1.42,-.1691541,57.5217819,.0000000,-58668137429162684930668921048006656.0000000
1.43,-.1705398,61.2363930,.0000000,-58668137429162684930668921048006656.0000000
1.44,-.1735949,63.6070786,.0000000,-58668137429162684930668921048006656.0000000
1.45,-.1771473,71.7208252,.0000000,-58668137429162684930668921048006656.0000000
1.46,-.1845568,69.8586731,.0000000,-58668137429162684930668921048006656.0000000
1.47,-.1969864,69.4663086,.0000000,-58668137429162684930668921048006656.0000000
1.48,-.2178985,89.2330627,.0000000,-58668137429162684930668921048006656.0000000
1.49,-.2252694,57.3623924,.0000000,-58668137429162684930668921048006656.0000000
1.50,-.2351923,71.4738159,.0000000,-58668137429162684930668921048006656.0000000
1.51,-.2366387,45.4169769,.0000000,-58668137429162684930668921048006656.0000000
1.52,-.2373732,45.6217232,.0000000,-58668137429162684930668921048006656.0000000
1.53,-.2510187,78.7754822,.0000000,-58668137429162684930668921048006656.0000000
1.54,-.2613043,74.8869934,.0000000,-58668137429162684930668921048006656.0000000
1.55,-.2575403,51.0410385,.0000000,-58668137429162684930668921048006656.0000000
1.56,-.2531089,55.8380547,.0000000,-58668137429162684930668921048006656.0000000
1.57,-.2542461,73.7214432,.0000000,-58668137429162684930668921048006656.0000000
1.58,-.2561955,77.3845367,.0000000,-58668137429162684930668921048006656.0000000
1.59,-.2548563,62.6532440,.0000000,-58668137429162684930668921048006656.0000000
1.60,-.2474312,33.9000320,.0000000,-58668137429162684930668921048006656.0000000
1.61,-.2376292,10.1231585,.0000000,-58668137429162684930668921048006656.0000000
1.62,-.2286769,6.0552874,.0000000,-58668137429162684930668921048006656.0000000
1.64,-.2207828,10.1400766,.0000000,-58668137429162684930668921048006656.0000000
1.65,-.2136472,13.2976913,.0000000,-58668137429162684930668921048006656.0000000
1.66,-.2073331,20.1159172,.0000000,-58668137429162684930668921048006656.0000000
1.67,-.2017454,5.3717794,.0000000,-58668137429162684930668921048006656.0000000
1.68,-.1968011,5.8209829,.0000000,-58668137429162684930668921048006656.0000000
1.69,-.1924261,5.5965300,.0000000,-58668137429162684930668921048006656.0000000
1.70,-.1917902,1.7312691,.0000000,-58668137429162684930668921048006656.0000000
1.71,-.1879683,1.7325243,.0000000,-58668137429162684930668921048006656.0000000
1.72,-.1845590,1.7334709,.0000000,-58668137429162684930668921048006656.0000000
1.73,-.1815718,1.7339302,.0000000,-58668137429162684930668921048006656.0000000
1.74,-.1788649,1.7348530,.0000000,-58668137429162684930668921048006656.0000000
1.75,-.1764840,1.7348906,.0000000,-58668137429162684930668921048006656.0000000
1.76,-.1743448,1.7350595,.0000000,-58668137429162684930668921048006656.0000000
1.77,-.1758036,1.7344459,.0000000,-58668137429162684930668921048006656.0000000
1.78,-.1738559,1.7345390,.0000000,-58668137429162684930668921048006656.0000000
1.79,-.1721732,1.7343761,.0000000,-58668137429162684930668921048006656.0000000
1.80,-.1706263,1.7348559,.0000000,-58668137429162684930668921048006656.0000000
1.81,-.1691837,1.7354860,.0000000,-58668137429162684930668921048006656.0000000
1.82,-.1678777,1.7361220,.0000000,-58668137429162684930668921048006656.0000000
1.83,-.1700881,1.7359864,.0000000,-58668137429162684930668921048006656.0000000
1.84,-.1688321,1.7353728,.0000000,-58668137429162684930668921048006656.0000000
1.85,-.1709202,1.7357848,.0000000,-58668137429162684930668921048006656.0000000
1.86,-.1694737,1.7359142,.0000000,-58668137429162684930668921048006656.0000000
1.88,-.1681330,1.7372482,.0000000,-58668137429162684930668921048006656.0000000
1.89,-.1702840,1.7369086,.0000000,-58668137429162684930668921048006656.0000000
1.90,-.1688534,1.7373319,.0000000,-58668137429162684930668921048006656.0000000
1.91,-.1675806,1.7376915,.0000000,-58668137429162684930668921048006656.0000000
1.92,-.1664732,1.7377940,.0000000,-58668137429162684930668921048006656.0000000
1.93,-.1654928,1.7379684,.0000000,-58668137429162684930668921048006656.0000000
1.94,-.1646228,1.7385422,.0000000,-58668137429162684930668921048006656.0000000
1.95,-.1638463,1.7391583,.0000000,-58668137429162684930668921048006656.0000000
1.96,-.1631501,1.7396058,.0000000,-58668137429162684930668921048006656.0000000
1.97,-.1625055,1.7394873,.0000000,-58668137429162684930668921048006656.0000000
1.98,-.1618988,1.7396930,.0000000,-58668137429162684930668921048006656.0000000
1.99,-.1647864,1.7389078,.0000000,-58668137429162684930668921048006656.0000000
2.00,-.1640045,1.7389542,.0000000,-58668137429162684930668921048006656.0000000
2.01,-.1633387,1.7388533,.0000000,-58668137429162684930668921048006656.0000000
2.02,-.1660642,1.7390678,.0000000,-58668137429162684930668921048006656.0000000
2.03,-.1684664,1.7393224,.0000000,-58668137429162684930668921048006656.0000000
2.04,-.1673378,1.7383834,.0000000,-58668137429162684930668921048006656.0000000
2.05,-.1664008,1.7380847,.0000000,-58668137429162684930668921048006656.0000000
2.06,-.1655073,1.7385770,.0000000,-58668137429162684930668921048006656.0000000
2.07,-.1647042,1.7390006,.0000000,-58668137429162684930668921048006656.0000000
2.08,-.1639694,1.7390804,.0000000,-58668137429162684930668921048006656.0000000
2.09,-.1633242,1.7392082,.0000000,-58668137429162684930668921048006656.0000000
2.10,-.1626942,1.7397110,.0000000,-58668137429162684930668921048006656.0000000
2.11,-.1621412,1.7400303,.0000000,-58668137429162684930668921048006656.0000000
2.12,-.1616538,1.7401893,.0000000,-58668137429162684930668921048006656.0000000
2.14,-.1612101,1.7409992,.0000000,-58668137429162684930668921048006656.0000000
2.15,-.1608174,1.7414900,.0000000,-58668137429162684930668921048006656.0000000
2.16,-.1604591,1.7420294,.0000000,-58668137429162684930668921048006656.0000000
2.17,-.1601555,1.7426935,.0000000,-58668137429162684930668921048006656.0000000
2.18,-.1598811,1.7429929,.0000000,-58668137429162684930668921048006656.0000000
2.19,-.1596497,1.7431126,.0000000,-58668137429162684930668921048006656.0000000
2.20,-.1594395,1.7437923,.0000000,-58668137429162684930668921048006656.0000000
2.21,-.1592361,1.7439624,.0000000,-58668137429162684930668921048006656.0000000
2.22,-.1590681,1.7441980,.0000000,-58668137429162684930668921048006656.0000000
2.23,-.1589033,1.7441630,.0000000,-58668137429162684930668921048006656.0000000
2.24,-.1587583,1.7438153,.0000000,-58668137429162684930668921048006656.0000000
2.25,-.1586330,1.7445238,.0000000,-58668137429162684930668921048006656.0000000
2.26,-.1584677,1.7457564,.0000000,-58668137429162684930668921048006656.0000000
2.27,-.1583312,1.7472912,.0000000,-58668137429162684930668921048006656.0000000
2.28,-.1582103,1.7481092,.0000000,-58668137429162684930668921048006656.0000000
2.29,-.1580947,1.7491503,.0000000,-58668137429162684930668921048006656.0000000
2.30,-.1579965,1.7497289,.0000000,-58668137429162684930668921048006656.0000000
2.31,-.1579043,1.7506067,.0000000,-58668137429162684930668921048006656.0000000
2.32,-.1578753,6.0689120,.0000000,-58668137429162684930668921048006656.0000000
2.33,-.1580376,10.2866192,.0000000,-58668137429162684930668921048006656.0000000
2.34,-.1586408,10.3181973,.0000000,-58668137429162684930668921048006656.0000000
2.35,-.1597398,10.3129225,.0000000,-58668137429162684930668921048006656.0000000
2.36,-.1608410,16.3544807,.0000000,-58668137429162684930668921048006656.0000000
2.38,-.1624688,23.0730324,.0000000,-58668137429162684930668921048006656.0000000
2.39,-.1634658,17.9804916,.0000000,-58668137429162684930668921048006656.0000000
2.40,-.1649316,20.6209641,.0000000,-58668137429162684930668921048006656.0000000
2.41,-.1659172,24.6853561,.0000000,-58668137429162684930668921048006656.0000000
2.42,-.1680884,16.3182220,.0000000,-58668137429162684930668921048006656.0000000
2.43,-.1703815,16.3262444,.0000000,-58668137429162684930668921048006656.0000000
2.44,-.1728429,16.3154430,.0000000,-58668137429162684930668921048006656.0000000
2.45,-.1767172,16.2932587,.0000000,-58668137429162684930668921048006656.0000000
2.46,-.1805442,16.2818336,.0000000,-58668137429162684930668921048006656.0000000
2.47,-.1847147,16.2710037,.0000000,-58668137429162684930668921048006656.0000000
2.48,-.1882872,16.2576065,.0000000,-58668137429162684930668921048006656.0000000
2.49,-.1910242,16.2684956,.0000000,-58668137429162684930668921048006656.0000000
2.50,-.1931192,16.2622929,.0000000,-58668137429162684930668921048006656.0000000
2.51,-.1944663,16.2695465,.0000000,-58668137429162684930668921048006656.0000000
2.52,-.1955425,16.2609329,.0000000,-58668137429162684930668921048006656.0000000
2.53,-.2121357,56.1327553,.0000000,-58668137429162684930668921048006656.0000000
2.54,-.2720149,133.2001495,.0000000,-58668137429162684930668921048006656.0000000
2.55,-.3353516,134.4697266,.0000000,-58668137429162684930668921048006656.0000000
2.56,-.3921649,136.0153198,.0000000,-58668137429162684930668921048006656.0000000
