"iota","gplant","rootresist","minlwp","root_leaf_ratio"
1.001498,2.144,101.21,-2.065,0.306
1.000925,3.635,89.08,-1.759,0.335
1.001728,1.767,89.25,-2.126,0.409
1.001283,2.115,45.01,-1.547,0.591
1.00163,2.829,93.87,-1.827,0.381
1.001684,1.638,35.24,-1.879,0.36
1.002804,1.524,55.32,-1.583,0.862
1.002782,1.843,78.57,-1.54,0.652
1.001477,2.374,72.47,-1.803,0.402
1.000561,1.652,76.17,-2.169,0.338
1.001879,2.377,73.57,-1.78,0.312
1.000546,2.174,73.1,-1.781,0.403
1.000681,1.814,96.07,-2.031,0.581
1.000796,1.752,80.31,-2.081,0.481
1.000836,2.199,64.38,-1.941,0.3
1.002102,1.37,88.02,-1.659,0.5
1.0021,1.531,70.55,-2.063,0.42
1.002487,2.067,80.84,-1.6,0.46
1.000927,1.429,48.68,-2.017,0.64
1.001634,1.925,74.19,-2.038,0.333
1.001608,1.539,35.26,-1.817,0.611
1.000814,1.874,95.19,-2.063,0.546
1.001715,1.298,75.72,-1.79,0.361
1.001009,1.3,39.24,-2.018,0.795
1.001579,1.494,102.77,-2.298,0.604
1.002605,1.345,81.63,-1.662,0.623
1.001872,2.327,80.3,-1.849,0.327
1.002376,1.311,79.29,-2.055,0.727
1.002532,1.39,95.73,-1.927,0.574
1.001416,1.986,83.29,-1.806,0.701
1.001549,1.549,39.5,-1.763,0.767
1.001081,1.592,52.59,-1.965,0.56
1.000887,1.451,67.58,-2.012,0.826
1.001586,1.441,40.83,-2.154,0.311
1.001334,1.477,58.75,-2.273,0.358
1.000784,1.255,84.51,-2.453,0.604
1.001383,2.43,87.85,-1.689,0.643
1.001443,2.241,96.63,-1.724,0.304
1.002528,2.07,95.77,-1.622,0.504
1.001353,2.301,84.52,-1.754,0.605
1.001411,2.014,56.41,-1.875,0.376
1.002542,2.023,103.41,-1.594,0.875
1.002248,2.67,103.39,-1.691,0.502
1.001976,1.574,59.59,-2.056,0.356
1.000578,1.421,64.32,-1.948,0.816
1.000801,1.48,77.38,-2.195,0.583
1.001226,1.283,81.09,-2.44,0.607
1.001459,1.713,45.03,-1.88,0.468
1.0026,1.371,39.68,-1.747,0.342
1.002293,1.594,49.36,-1.885,0.369
1.001446,3.2,76.36,-1.661,0.374
1.001395,2.729,52.5,-1.53,0.403
1.001212,3.631,85.82,-1.739,0.347
1.001539,1.815,46.49,-1.697,0.642
1.002429,1.415,103.97,-1.983,0.895
1.000863,2.333,79.49,-1.526,0.842
1.001115,2.611,101.39,-1.567,0.843
1.001604,1.53,89.1,-2.346,0.393
1.001708,2.997,103.7,-1.687,0.559
1.001775,2.406,94.43,-1.8,0.544
1.000567,1.622,101.75,-2.268,0.472
1.002058,1.451,67.46,-1.956,0.761
1.001094,1.696,55.45,-1.87,0.63
1.00219,2.783,73.75,-1.533,0.459
1.000876,3.243,95.68,-1.511,0.639
1.002708,1.829,83.06,-1.676,0.634
1.000523,2.881,104.75,-1.95,0.309
1.000994,2.92,95.26,-1.959,0.357
1.000716,1.712,98.74,-2.094,0.642
1.000696,1.717,104.49,-2.267,0.492
1.001021,3.541,89.5,-1.848,0.321
1.001649,1.364,46.19,-2.235,0.375
1.000787,1.404,58.45,-2.296,0.371
1.001826,1.731,83.71,-2.074,0.508
1.001718,1.518,79.56,-2.292,0.345
1.001904,1.831,79.85,-1.884,0.625
1.002261,1.625,66.07,-1.923,0.342
1.001959,1.435,100.81,-2.179,0.742
1.001487,2.481,100.35,-1.826,0.577
1.000667,1.971,85.72,-1.956,0.502
1.000856,2.137,70.47,-1.789,0.513
1.000653,1.771,51.07,-1.649,0.753
1.002187,2.362,103.61,-1.852,0.457
1.001825,1.913,103.7,-2.127,0.462
1.00182,1.812,65.31,-2.025,0.342
1.001485,2.609,76.94,-1.612,0.581
1.002278,1.356,101.48,-2.128,0.805
1.001987,3.121,101.05,-1.524,0.649
1.002697,1.389,47.86,-1.857,0.445
1.001911,3.505,102.94,-1.666,0.332
1.001296,2.141,94.81,-1.883,0.644
1.002574,1.562,97.76,-1.517,0.634
1.000825,1.998,46.64,-1.813,0.333
1.002896,1.514,35.85,-1.537,0.856
1.002577,1.531,101.66,-1.948,0.725
1.001028,3.271,99.33,-1.801,0.44
1.001182,2.386,93.79,-1.532,0.304
1.001522,2.399,68.07,-1.884,0.318
1.001501,1.669,83.85,-2.007,0.719
1.002083,2.834,90.8,-1.586,0.342
1.000723,1.26,77.18,-2.287,0.775
1.002913,1.687,79.95,-1.641,0.71
1.002531,2.659,94.81,-1.575,0.507
1.000984,2.457,62.44,-1.798,0.353
1.002094,1.284,44.15,-1.94,0.888
1.001317,2.142,68.61,-1.661,0.699
1.000727,1.963,76.79,-1.74,0.731
1.001748,2.667,80.03,-1.571,0.612
1.00118,2.282,71.05,-1.628,0.684
1.002714,1.903,37.12,-1.514,0.394
1.002369,1.324,58.55,-1.564,0.453
1.0012,1.313,88.21,-2.374,0.737
1.001355,1.86,86.05,-1.945,0.68
1.002056,1.716,91.18,-2.098,0.489
1.00051,1.484,49.8,-1.963,0.452
1.000884,1.548,60.11,-2.089,0.517
1.000953,1.322,62.45,-2.316,0.551
1.003017,1.732,81.17,-1.564,0.73
1.002256,2.436,78.16,-1.715,0.364
1.002816,1.452,73.78,-1.774,0.551
1.000886,1.498,36.97,-1.966,0.468
1.001453,3.439,79.92,-1.706,0.353
1.002134,3.28,82.27,-1.608,0.337
1.00129,1.977,94.87,-2.213,0.412
1.001868,1.307,80.35,-2.4,0.48
1.001217,1.782,104.25,-2.262,0.539
1.002428,1.686,71.7,-1.879,0.544
1.001779,3.054,104.11,-1.838,0.427
1.002621,1.997,61.3,-1.625,0.402
1.000721,3.395,102.84,-1.856,0.386
1.001965,2.213,98.73,-1.995,0.42
1.000814,1.285,92.52,-1.594,0.4
1.001902,1.479,50.75,-1.85,0.826
1.001787,2.511,40.98,-1.504,0.376
1.001878,1.294,100.88,-2.39,0.681
1.001271,3.419,83.18,-1.764,0.355
1.000555,1.888,74.37,-1.798,0.599
1.001902,2.083,61.12,-1.901,0.303
1.00184,2.076,79.93,-1.935,0.454
1.002198,1.387,60.5,-2.015,0.694
1.002082,1.992,83.51,-1.964,0.331
1.002161,1.841,76.13,-1.976,0.34
1.00117,3.116,90.26,-1.537,0.646
1.001367,2.079,70.95,-1.884,0.504
1.002533,1.31,69.61,-2.108,0.479
1.00089,3.202,62.36,-1.501,0.412
1.000712,2.423,80.51,-1.727,0.521
1.002779,1.802,39.78,-1.554,0.338
1.00308,1.655,69.05,-1.578,0.674
1.001322,2.916,92.48,-1.64,0.609
1.002294,2.349,76.31,-1.584,0.621
1.001393,2.981,72.18,-1.573,0.498
1.002375,1.728,92.58,-1.684,0.431
1.001331,1.479,81.04,-2.113,0.812
1.000639,1.867,95.08,-1.864,0.779
1.002841,1.42,57.64,-1.825,0.472
1.001552,1.418,61.07,-1.51,0.327
1.001909,1.7,92.9,-2.234,0.403
1.001566,2.379,52.56,-1.71,0.374
1.000553,1.88,103.8,-2.338,0.326
1.003036,1.291,80.8,-1.742,0.743
1.000926,1.694,89.02,-2.116,0.636
1.000679,1.421,94.78,-2.252,0.732
1.001499,2.502,86.06,-2.058,0.308
1.001215,1.563,48.96,-1.953,0.64
1.002513,1.43,99.74,-2.14,0.568
1.001943,3.39,76.66,-1.587,0.39
1.000896,2.939,75.6,-1.762,0.378
1.001264,2.248,83.42,-1.954,0.476
1.00115,2.976,64.79,-1.737,0.329
1.000543,2.191,38.5,-1.557,0.313
1.001818,1.264,97.13,-2.341,0.814
1.000593,1.996,96.55,-2.251,0.335
1.003172,1.519,39.3,-1.516,0.53
1.000839,1.495,92.51,-2.295,0.627
1.002736,1.265,80.82,-2.072,0.668
1.002483,2.429,84.47,-1.526,0.696
1.001944,1.902,80.72,-1.974,0.515
1.002324,1.518,57.54,-2.053,0.347
1.002566,1.332,40.5,-2.016,0.33
1.001986,1.733,64.83,-2.018,0.436
1.000994,1.395,53.04,-2.347,0.358
1.002466,2.539,63.22,-1.536,0.438
1.001119,1.366,59.62,-2.363,0.453
1.00168,2.149,42.94,-1.588,0.519
1.001328,2.717,65.67,-1.649,0.457
1.001872,1.254,84.93,-2.4,0.652
1.002252,3.381,94.55,-1.65,0.409
1.001285,1.628,79.03,-2.266,0.485
1.001068,1.813,100.03,-2.454,0.355
1.001638,3.141,76.16,-1.624,0.44
1.001781,3.499,95.09,-1.824,0.348
1.002024,1.413,67.6,-2.108,0.665
1.000519,1.318,63.74,-2.29,0.42
1.002689,1.929,67.44,-1.716,0.448
1.001372,1.416,70.31,-2.44,0.409
1.002248,1.785,90.48,-2.075,0.412
1.001299,2.576,78,-1.503,0.789
1.001977,2.745,74.73,-1.769,0.345
1.002403,1.678,55.71,-1.869,0.483
1.002484,1.636,98.63,-1.698,0.472
1.000621,1.936,76.02,-1.918,0.493
1.000892,1.967,86.31,-1.912,0.653
1.001,2.066,68.04,-1.615,0.851
1.001405,2.655,100.16,-1.661,0.733
1.00066,2.488,51.57,-1.589,0.371
1.001686,2.378,67.76,-1.522,0.741
1.000649,1.42,60.36,-2.176,0.499
1.002538,1.825,88.8,-1.835,0.41
1.002018,1.852,67.08,-2.032,0.352
1.001379,1.441,82.09,-2.39,0.54
1.002509,2.301,85.44,-1.698,0.538
1.001557,1.774,68.88,-1.896,0.684
1.002771,1.252,74.45,-1.728,0.562
1.00176,2.08,71.7,-2.057,0.312
1.002403,2.198,86.52,-1.641,0.714
1.002397,2.343,100.16,-1.789,0.557
1.001133,2.047,102.37,-2.424,0.303
1.000852,1.98,62.78,-1.61,0.859
1.002961,1.294,95.72,-1.964,0.719
1.000613,3.447,101.14,-1.553,0.569
1.003103,1.84,90.28,-1.601,0.744
1.002468,2.233,81.46,-1.57,0.369
1.001981,3.045,64.4,-1.582,0.373
1.001071,1.562,69.32,-2.429,0.323
1.001148,2.143,74.63,-1.601,0.891
1.000699,1.605,100.21,-2.245,0.609
1.001556,1.98,67.59,-1.798,0.644
1.002468,1.791,71.99,-1.704,0.794
1.001786,1.483,81.67,-2.095,0.789
1.000778,2.365,66.34,-1.906,0.334
1.003264,1.471,50.5,-1.608,0.72
1.001321,1.58,86.21,-1.549,0.347
1.002065,2.916,73.47,-1.551,0.505
1.001872,3.517,95.55,-1.833,0.347
1.00309,1.393,88.27,-1.599,0.745
1.001211,3.246,89.77,-1.893,0.366
1.002688,1.641,97.05,-1.945,0.669
1.001834,2.224,97.24,-2.042,0.458
1.002051,1.61,70.08,-2.117,0.484
1.002529,1.605,63.65,-1.717,0.34
1.002138,3.073,85.09,-1.746,0.364
1.000851,3.046,74.08,-1.679,0.411
1.00296,1.329,79.6,-1.91,0.881
1.002025,1.542,36.35,-1.7,0.895
1.003268,1.272,37.31,-1.595,0.58
1.001083,1.28,77.59,-2.467,0.634
1.001865,2.222,60.2,-1.668,0.558
1.001675,2.157,97.06,-2.222,0.334
1.001692,2.119,49.42,-1.854,0.336
1.001695,1.649,75.16,-2.109,0.584
1.002635,1.966,75.56,-1.808,0.464
1.000521,1.991,54.22,-1.635,0.535
1.001604,1.432,87.47,-2.262,0.724
1.003393,1.351,49.32,-1.579,0.814
1.001932,2.426,98.79,-1.898,0.525
1.001932,1.751,58,-1.888,0.577
1.002074,2.658,104.68,-1.623,0.752
1.002687,2.338,98.68,-1.751,0.466
1.000844,1.933,94.26,-2.015,0.629
1.002007,1.283,63.97,-2.32,0.564
1.001177,1.875,74.68,-1.908,0.679
1.000529,3.413,88.03,-1.797,0.317
1.000957,3.277,75.13,-1.694,0.392
1.000816,1.731,48.06,-1.723,0.761
1.002157,2.712,71.99,-1.603,0.497
1.000969,1.908,95.15,-2.268,0.449
1.001599,2.925,83.49,-1.891,0.358
1.002134,2.234,77.12,-1.819,0.493
1.002053,2.776,92.89,-1.902,0.374
1.001365,2.014,81.23,-2.025,0.526
1.000686,1.748,42.79,-1.846,0.408
1.002427,1.675,76.66,-2.066,0.366
1.001791,1.785,82.35,-1.984,0.671
1.002694,1.539,90.09,-1.994,0.685
1.002454,1.826,86.97,-1.95,0.565
1.001718,2.086,76.27,-1.931,0.511
1.000755,3.555,103.7,-1.996,0.345
1.000735,2.002,101.99,-2.408,0.338
1.000865,2.781,81.24,-1.714,0.497
1.002354,1.296,91.14,-2.277,0.715
1.003332,1.288,39.46,-1.624,0.566
1.002074,2.403,73.45,-1.869,0.365
1.001938,1.578,40.82,-1.738,0.849
1.002531,2.5,59.36,-1.632,0.339
1.000678,1.752,80.18,-2.363,0.314
1.002005,1.812,61.63,-1.686,0.854
1.00109,2.151,92.89,-2.117,0.473
1.00261,2.22,81.22,-1.694,0.358
1.001066,2.552,85.38,-2.115,0.336
1.002347,1.49,91.9,-2.222,0.572
1.001475,2.407,65.77,-1.993,0.304
1.002924,1.313,54.5,-1.953,0.685
1.00144,1.725,103.14,-2.175,0.707
1.001961,2.661,84.02,-1.984,0.301
1.001494,2.306,46.37,-1.51,0.633
1.001613,2.225,45.02,-1.585,0.554
1.000631,2.598,61.05,-1.515,0.513
1.000753,1.935,89.82,-2.274,0.382
1.002666,1.732,97.06,-1.835,0.833
1.002333,3.336,93.35,-1.664,0.446
1.001774,2.074,96.84,-2.174,0.435
1.000608,1.674,97.08,-1.544,0.328
1.001207,2.784,39.44,-1.559,0.308
1.001866,2.962,90.4,-1.966,0.327
1.000569,2.056,100.03,-1.75,0.843
1.002823,1.737,63.18,-1.684,0.36
1.001756,1.432,74.06,-2.469,0.377
1.00251,1.686,85.13,-1.871,0.789
1.001674,1.575,81.3,-2.464,0.303
1.003237,1.447,42.02,-1.706,0.649
1.00063,3.218,100.41,-1.852,0.415
1.00162,2.511,51.88,-1.732,0.355
1.0012,2.476,44.02,-1.537,0.474
1.001542,2.043,40.26,-1.783,0.387
1.000943,2.555,85.34,-1.816,0.523
1.001295,2.71,76.38,-1.652,0.586
1.003201,1.321,42.9,-1.849,0.567
1.003008,1.421,73.15,-1.941,0.67
1.000523,2.466,102.84,-1.745,0.628
1.002353,2.147,88.56,-1.601,0.895
1.002919,2.167,79.51,-1.577,0.69
1.00188,1.996,37.61,-1.681,0.475
1.001492,1.653,46.98,-1.873,0.68
1.002444,1.668,53.47,-1.678,0.888
1.002141,3.127,99.92,-1.861,0.403
1.000756,1.62,68.24,-2.018,0.655
1.002172,1.621,90.02,-2.244,0.318
1.001605,1.394,85.08,-2.435,0.593
1.002256,2.176,36.4,-1.559,0.442
1.002956,1.39,101.46,-1.588,0.694
1.002618,2.953,91.85,-1.697,0.419
1.003159,1.481,91.09,-1.786,0.588
1.00212,1.686,95.29,-2.104,0.31
1.001924,2.225,68.57,-1.828,0.489
1.000653,1.427,46.85,-2.261,0.305
1.003438,1.633,50.75,-1.546,0.576
1.003127,1.296,83.02,-1.528,0.806
1.002593,1.275,76.33,-1.818,0.424
1.001528,3.202,71.63,-1.543,0.522
1.001921,2.63,91.9,-1.93,0.434
1.002626,2.972,97.46,-1.645,0.525
1.001254,2.096,42.39,-1.577,0.655
1.002753,2.319,85.49,-1.673,0.375
1.001392,1.456,71.55,-2.103,0.854
1.00261,1.313,46.38,-2.172,0.394
1.002141,2.749,82.8,-1.568,0.652
1.00081,3.293,93.76,-1.712,0.495
1.002045,2.222,47.2,-1.813,0.304
1.00084,2.888,102.77,-1.904,0.489
1.001288,1.855,90.41,-2.132,0.608
1.003483,1.673,89.47,-1.598,0.798
1.00225,2.005,104.61,-2.183,0.359
1.002466,1.464,99.01,-2.313,0.436
1.002269,1.684,86.99,-2.092,0.602
1.001226,2.276,91.82,-1.999,0.542
1.001987,2.723,76.95,-1.735,0.47
1.000723,1.929,66.17,-1.845,0.574
1.003071,2.025,89.05,-1.726,0.531
1.00121,1.761,45.55,-2.036,0.373
1.001554,2.555,94.43,-1.865,0.569
1.000602,3.387,94.73,-1.627,0.504
1.003129,1.958,96.67,-1.681,0.523
1.002919,1.893,100.15,-1.553,0.507
1.002491,2.421,102.25,-1.517,0.4
1.001024,2.155,47.27,-1.586,0.635
1.001597,1.335,93.56,-1.659,0.392
1.001216,1.285,70.98,-2.27,0.897
1.003445,1.652,90.66,-1.545,0.71
1.002566,1.471,101.12,-2.285,0.503
1.001629,1.594,97.35,-2.256,0.693
1.001431,2.007,69.74,-2.112,0.403
1.002776,3.277,75.42,-1.503,0.352
1.001644,1.41,71.96,-2.307,0.636
1.003271,1.623,38.57,-1.566,0.731
1.000984,1.934,80.4,-1.777,0.886
1.001132,2.768,89.48,-1.564,0.785
1.00097,1.392,44.92,-2.045,0.766
1.00262,2.731,100.28,-1.73,0.539
1.001906,2.243,73.44,-2.046,0.342
1.003095,1.65,92.78,-1.906,0.561
1.002739,1.366,58.4,-2.092,0.324
1.000776,1.257,69.6,-2.335,0.761
1.003584,1.309,45.83,-1.676,0.7
1.002388,1.525,98.32,-2.01,0.364
1.002755,1.656,84.01,-1.895,0.748
1.001428,1.399,67.64,-2.481,0.456
1.001652,2.073,72.32,-1.774,0.708
1.000547,1.776,74.36,-1.97,0.538
1.003089,1.672,96.02,-1.892,0.528
1.002827,2.19,99.49,-1.623,0.842
1.001728,2.654,41.15,-1.648,0.302
1.00088,3.673,78.31,-1.559,0.467
1.003233,1.285,47.74,-1.728,0.434
1.002931,2.053,82.63,-1.78,0.405
1.000633,2.352,69.58,-1.502,0.79
1.000827,1.921,60.71,-1.702,0.784
1.001932,3.047,101.74,-2.007,0.378
1.002889,1.866,92.06,-1.755,0.8
1.002299,2.488,67.01,-1.642,0.531
1.002095,2.39,70.79,-1.739,0.53
1.001,1.912,43.85,-1.896,0.376
1.002141,2.097,51.06,-1.511,0.807
1.001548,2.029,103.77,-2.447,0.344
1.00166,3.449,88.7,-1.694,0.488
1.002321,1.267,74.1,-2.435,0.51
1.000518,1.652,45.9,-1.67,0.833
1.00074,2.072,36.81,-1.682,0.357
1.002391,2.741,67.05,-1.665,0.413
1.002212,3.308,80.6,-1.814,0.318
1.002109,2.104,69.07,-1.784,0.603
1.002917,1.663,53.19,-1.77,0.626
1.003548,1.602,64.98,-1.591,0.613
1.001671,1.643,83.28,-2.412,0.421
1.00262,2.96,92.64,-1.791,0.357
1.002993,1.644,80.04,-1.787,0.851
1.00135,2.513,58.01,-1.683,0.49
1.000548,2.972,75.47,-1.661,0.407
1.000576,1.489,70.76,-2.367,0.362
1.002605,1.646,88.19,-1.875,0.892
1.003153,1.461,43.19,-1.732,0.81
1.002569,2.102,84.1,-1.877,0.532
1.00225,1.758,86.96,-1.956,0.747
1.002963,1.288,101.68,-2.166,0.828
1.002872,3.394,98.92,-1.613,0.405
1.0023,3.133,92.5,-1.537,0.657
1.002839,1.291,72.55,-2.001,0.388
1.001911,1.925,90.8,-2.116,0.555
1.001152,1.434,47.26,-2.387,0.333
1.001293,3.255,79.11,-1.908,0.345
1.001493,2.078,92.33,-2.245,0.437
1.001474,1.638,99.22,-2.491,0.491
1.002836,3.602,96.11,-1.606,0.392
1.003223,1.957,102.27,-1.785,0.621
1.002142,2.04,91.44,-1.911,0.673
1.003051,1.576,91.3,-1.555,0.551
1.002074,1.613,45.9,-2.133,0.36
1.002206,1.564,52.91,-1.915,0.722
1.00239,1.415,66.16,-2.333,0.301
1.003031,2.203,90.85,-1.529,0.893
1.001041,1.553,59.08,-2.423,0.32
1.000645,3.492,94.94,-1.544,0.585
1.00175,1.696,87.24,-2.247,0.572
1.002235,3.54,76.63,-1.554,0.458
1.003329,1.315,55.15,-1.867,0.457
1.001283,3.688,101.04,-1.732,0.53
1.002736,2.556,99.68,-1.572,0.783
1.00246,1.861,82.61,-1.924,0.644
1.003355,1.5,101.15,-1.749,0.628
1.002774,2.92,97.58,-1.78,0.397
1.000854,3.729,101.33,-1.881,0.417
1.000932,1.886,88.25,-2.098,0.598
1.000778,1.282,75.87,-2.392,0.718
1.002528,3.253,84.85,-1.617,0.476
1.000544,1.624,74.41,-2.314,0.346
1.002048,2.309,89.3,-1.572,0.302
1.002493,2.517,65.98,-1.711,0.428
1.002141,2.093,93.88,-2.17,0.417
1.003138,1.307,62.14,-1.989,0.775
1.001393,1.384,60.01,-2.16,0.823
1.003345,1.298,42.29,-1.67,0.411
1.001337,2.316,50.08,-1.523,0.714
1.001174,1.498,45.05,-2.086,0.593
1.000532,2.217,73.73,-1.68,0.607
1.001497,2.74,85.83,-1.765,0.577
1.002259,1.925,96.11,-1.8,0.319
1.003552,2.073,97.94,-1.541,0.637
1.001799,2.237,97.66,-2.009,0.585
1.001601,3.02,40.55,-1.542,0.317
1.002924,1.26,100.22,-1.648,0.663
1.001315,2.616,52.42,-1.699,0.404
1.002214,2.873,86.53,-1.837,0.426
1.002465,2.017,100.45,-1.735,0.354
1.000652,1.508,99.59,-2.252,0.745
1.001209,2.463,102.45,-1.846,0.713
1.002777,3.683,74.08,-1.551,0.334
1.002818,1.376,104.18,-1.707,0.546
1.002943,2.585,93.5,-1.508,0.779
1.001809,1.997,64.2,-2.045,0.423
1.003203,1.286,40.86,-2.039,0.397
1.001462,2.217,104.12,-1.785,0.895
1.002563,1.554,61.57,-1.984,0.653
1.001009,2.101,101.1,-2.431,0.38
1.001669,2.634,104.27,-2.245,0.362
1.003741,1.609,53,-1.542,0.783
1.002613,2.35,36.66,-1.595,0.32
1.001154,1.622,38.07,-1.755,0.889
1.00108,3.27,51.22,-1.618,0.319
1.000578,2.817,100.15,-1.505,0.838
1.003155,1.665,35.86,-1.73,0.459
1.002939,1.733,61.8,-1.894,0.504
1.001871,3.363,101.35,-1.727,0.566
1.002051,2.39,59.94,-1.953,0.301
1.002272,2.575,103.79,-1.899,0.56
1.002326,1.625,83.48,-2.299,0.449
1.002123,2.198,85.3,-1.757,0.743
1.00335,2.003,76.61,-1.677,0.576
1.003489,1.297,84.69,-1.95,0.856
1.00336,2.13,91.14,-1.604,0.741
1.001985,1.945,98.59,-2.178,0.557
1.000556,2.478,45.75,-1.567,0.355
1.001603,1.395,79.27,-2.307,0.769
1.003404,2.299,91.25,-1.607,0.593
1.000731,2.063,75.95,-2.178,0.354
1.003381,1.594,82.28,-1.867,0.649
1.001398,2.401,42.77,-1.643,0.44
1.001291,2.572,62.32,-2.004,0.308
1.001837,2.677,86.52,-2.035,0.384
1.002622,2.109,62.58,-1.742,0.543
1.002722,2.668,46.92,-1.597,0.303
1.003758,1.515,86.6,-1.677,0.786
1.002814,2.248,70.41,-1.783,0.452
1.001307,3.439,80.85,-1.882,0.365
1.000922,1.525,60.68,-2.269,0.474
1.000594,3.123,96.54,-1.743,0.497
1.001636,3.721,103.15,-2.011,0.374
1.00334,1.541,67.29,-1.699,0.439
1.002612,3.118,104.37,-1.712,0.328
1.002275,2.543,102.25,-2.175,0.32
1.002864,2.863,74.85,-1.573,0.497
1.003405,1.37,36.34,-1.886,0.345
1.002652,2.961,66.81,-1.652,0.373
1.000677,1.867,61.98,-1.719,0.798
1.002078,2.599,94.24,-1.576,0.856
1.002773,3.065,79.69,-1.562,0.301
1.000616,1.253,49.68,-2.237,0.654
1.003569,1.636,46.89,-1.55,0.898
1.000896,2.962,92.97,-2.018,0.399
1.002624,1.442,91.99,-2.369,0.494
1.001109,3.741,65.07,-1.683,0.341
1.001669,3.354,81.96,-1.781,0.428
1.000504,2.434,53.82,-1.722,0.314
1.002699,1.78,48.02,-1.69,0.718
1.001731,2.261,98.79,-2.193,0.466
1.003909,1.382,38.78,-1.592,0.873
1.002199,2.405,67.78,-1.843,0.44
1.003795,1.75,59.95,-1.518,0.764
1.001322,1.581,38.1,-2.035,0.508
1.000546,2.906,91.25,-1.957,0.364
1.001889,2.151,71.61,-2.19,0.32
1.001597,3.695,96.24,-1.936,0.39
1.001058,3.383,99.94,-2.045,0.392
1.001205,3.549,71.12,-1.505,0.533
1.000978,3.188,67.91,-1.734,0.382
1.001755,1.871,79.45,-2.075,0.608
1.002648,3.727,86.29,-1.58,0.462
1.002008,1.813,55.72,-2.043,0.457
1.001656,1.778,36.86,-1.637,0.877
1.001236,2.072,45.14,-1.711,0.571
1.000508,2.567,90.72,-1.653,0.638
1.002492,1.447,65.29,-2.023,0.823
1.001688,1.937,74.68,-2.328,0.343
1.002038,1.654,84.9,-1.538,0.35
1.003773,1.856,61.86,-1.518,0.664
1.000651,3.71,93.59,-1.962,0.333
1.003629,1.36,99.52,-1.922,0.788
1.002063,1.947,49.97,-1.681,0.725
1.000638,1.707,81.07,-2.289,0.424
1.003611,1.273,57.93,-1.886,0.854
1.001177,3.115,56.91,-1.616,0.403
1.003068,1.272,69.3,-2.243,0.424
1.002014,1.481,91.64,-2.217,0.82
1.002553,2.491,66.16,-1.613,0.577
1.000819,2.523,55.65,-1.814,0.34
1.001269,3.364,86.52,-2.104,0.31
1.000784,3.26,67.57,-1.809,0.318
1.001358,2.673,54.67,-1.538,0.587
1.002881,1.3,41.21,-2.052,0.665
1.00124,2.307,41.62,-1.65,0.463
1.001549,1.573,58.12,-2.343,0.419
1.003554,1.287,68.16,-1.656,0.608
1.001315,1.805,75.48,-2.162,0.563
1.003483,2.071,59.36,-1.524,0.644
1.003703,1.795,58.78,-1.593,0.488
1.002781,1.291,63.93,-1.954,0.311
1.002648,2.396,51.73,-1.641,0.443
1.002281,2.031,101.5,-2.344,0.34
1.001734,1.634,74.84,-2.134,0.698
1.000818,2.959,95.37,-1.99,0.424
1.001249,3.546,82.83,-1.657,0.511
1.003024,1.696,103.6,-2.062,0.423
1.002123,3.098,88,-1.795,0.475
1.001105,2.55,90.38,-2.24,0.361
1.002506,2.759,48.27,-1.639,0.323
1.001066,2.616,100.67,-1.873,0.637
1.001748,1.904,104.43,-2.139,0.707
1.002152,1.997,78.88,-1.782,0.811
1.001155,1.885,97.78,-2.487,0.423
1.003518,2.236,102.53,-1.607,0.515
1.002522,1.875,52,-1.667,0.77
1.000573,2.244,80,-1.998,0.405
1.002794,1.472,87.71,-2.061,0.856
1.00083,1.66,78.76,-2.196,0.593
1.001333,2.693,75.1,-2.05,0.357
1.002297,1.473,40.75,-2.128,0.479
1.003163,3.517,98.94,-1.629,0.404
1.002015,2.414,51.21,-1.543,0.641
1.000763,2.609,74.32,-1.619,0.631
1.001185,3.031,79.33,-1.891,0.413
1.00054,3.385,92.86,-1.598,0.533
1.002962,2.289,90.81,-1.884,0.342
1.001842,2.847,69.31,-1.803,0.422
1.002608,2.227,45.74,-1.519,0.638
1.000837,2.261,84.68,-2.048,0.468
1.001251,2.835,72.06,-1.955,0.367
1.002759,2.393,83.47,-1.632,0.307
1.001588,3.564,101.86,-1.798,0.531
1.001269,1.785,99.49,-2.1,0.832
1.002316,2.089,94.29,-2.207,0.427
1.001436,1.491,42.76,-2.259,0.43
1.00333,2.344,75.33,-1.531,0.688
1.001093,2.146,59.49,-2.077,0.346
1.003371,2.096,61.98,-1.694,0.449
1.001159,3.089,42.66,-1.6,0.306
1.001893,1.866,73.74,-2.282,0.399
1.002743,2.823,81.24,-1.726,0.47
1.000891,3.084,95.11,-1.911,0.463
1.002727,1.319,55.28,-2.15,0.7
1.001175,2.66,58.33,-1.755,0.419
1.001131,1.874,74.86,-2.222,0.463
1.00369,2.06,46.25,-1.504,0.421
1.000795,1.956,102.85,-1.932,0.862
1.000686,2.225,98.88,-1.843,0.739
1.001722,3.585,72.84,-1.781,0.362
1.001584,3.141,94.92,-1.792,0.562
1.00113,1.89,57.92,-2.184,0.357
1.001519,1.998,73.54,-2.362,0.33
1.001006,2.507,51.51,-1.764,0.375
1.000744,3.501,93.37,-1.768,0.465
1.000803,3.191,84.74,-1.882,0.398
1.00208,3.48,83.72,-1.681,0.487
1.001402,1.293,89.2,-1.5,0.411
1.002724,1.809,75.61,-1.867,0.732
1.00283,1.459,80.96,-1.771,0.37
1.002069,2.274,38.3,-1.547,0.571
