"iota","gplant","rootresist","minlwp","root_leaf_ratio"
1.000595,1.366,97.5,-1.591,0.531
1.001463,1.47,79.9,-1.817,0.699
1.001787,1.288,38.45,-1.613,0.525
1.001358,1.421,40.98,-1.609,0.334
1.001041,1.952,89.83,-1.562,0.848
1.001027,1.561,60.88,-1.787,0.598
1.001351,1.285,55.48,-1.958,0.478
1.001188,2.319,103.81,-1.541,0.708
1.001391,1.859,69.45,-1.519,0.753
1.000812,1.472,37.55,-1.669,0.729
1.00155,1.282,60.91,-1.871,0.496
1.000701,1.745,97.6,-1.536,0.46
1.00078,2.105,79.5,-1.622,0.426
1.001485,1.912,81.76,-1.52,0.505
1.000906,2.287,100.33,-1.665,0.511
1.000763,1.761,77.44,-1.688,0.702
1.001846,1.349,74.47,-1.686,0.778
1.000662,1.404,52.9,-1.855,0.59
1.000609,1.255,75.87,-2.004,0.372
1.000775,1.907,90.57,-1.604,0.397
1.001803,1.257,44.9,-1.761,0.574
1.000738,1.373,60.62,-1.934,0.637
1.000641,1.43,94.53,-1.965,0.792
1.001422,1.57,104.46,-1.893,0.552
1.001557,1.84,52.39,-1.513,0.499
1.000526,2.094,91.4,-1.574,0.516
1.000692,1.302,68.59,-1.999,0.749
1.001022,1.705,76.39,-1.631,0.376
1.00122,1.827,49.06,-1.519,0.634
1.00176,1.644,84.74,-1.603,0.642
1.000612,1.285,63.16,-2.033,0.566
1.000566,1.271,51.95,-1.99,0.454
1.001685,1.331,100.47,-1.908,0.731
1.001241,2.12,84.72,-1.598,0.589
1.000681,1.832,97.93,-1.826,0.546
1.001426,1.475,89.13,-1.94,0.595
1.001544,1.282,100.33,-1.593,0.759
1.000521,1.574,69.27,-1.714,0.704
1.000582,1.453,65.61,-1.81,0.337
1.001194,1.591,62.36,-1.834,0.469
1.000573,1.39,99.77,-1.982,0.86
1.000632,1.57,73.55,-1.707,0.348
1.000623,2.222,103.81,-1.63,0.606
1.001413,1.271,65.14,-2.028,0.578
1.001433,1.883,86.52,-1.609,0.766
1.001907,1.273,51.89,-1.514,0.725
1.001092,2.54,102.6,-1.603,0.543
1.000757,1.485,96.55,-1.986,0.75
1.000967,2.651,90.27,-1.562,0.41
1.000545,1.955,104.14,-1.612,0.431
1.00078,1.831,86.42,-1.813,0.53
1.001114,1.342,79.09,-1.826,0.396
1.001257,1.255,102.06,-1.873,0.517
1.000998,1.335,64.03,-2.057,0.342
1.000631,1.649,66.93,-1.741,0.329
1.001861,1.25,78.91,-1.579,0.833
1.000789,2.395,96.44,-1.642,0.492
1.00186,1.73,71.43,-1.537,0.698
1.001091,1.531,79.32,-1.832,0.82
1.001697,1.683,64.5,-1.504,0.482
1.00071,1.495,103.86,-2.021,0.74
1.000626,1.59,101.87,-1.987,0.594
1.000836,1.935,50.31,-1.577,0.456
1.000707,1.825,73.8,-1.753,0.496
1.001352,2.341,95.84,-1.611,0.532
1.001501,1.638,95.16,-1.76,0.487
1.001452,1.314,83.27,-1.979,0.455
1.000652,2.554,90.74,-1.547,0.406
1.001145,1.856,93.67,-1.865,0.508
1.000995,1.792,73.93,-1.842,0.363
1.000583,1.409,48.29,-1.727,0.869
1.001008,2.442,87.36,-1.639,0.431
1.001296,2.797,104.94,-1.537,0.562
1.001158,2.144,83.76,-1.698,0.468
1.001458,1.342,103.53,-2.122,0.64
1.001314,1.302,74.26,-2.038,0.389
1.000723,2.176,96.46,-1.585,0.741
1.00148,2.458,96.63,-1.557,0.556
1.001318,1.782,59.94,-1.674,0.328
1.001002,2.75,88.98,-1.527,0.498
1.001156,2.726,104.7,-1.596,0.539
1.000545,1.993,53.3,-1.51,0.39
1.000889,1.707,53.36,-1.666,0.646
1.001498,2.34,94.01,-1.53,0.662
1.000624,1.262,82.18,-2.223,0.53
1.000633,1.693,68.07,-1.755,0.311
1.001799,1.596,39.58,-1.586,0.381
1.000597,2.532,100.05,-1.521,0.394
1.000744,1.683,44.68,-1.702,0.434
1.001391,1.779,82.4,-1.831,0.461
1.000882,1.428,93.11,-2.198,0.482
