time,defoliated,nondefoliated,oak
28407,6.61707853126464e-05,3.01584674508551e-05,8.41221785338442e-05
28408,6.30914741664512e-05,1.59318934937281e-05,6.75251350747458e-05
28409,6.30914741664512e-05,3.01584674508551e-05,8.41221785338442e-05
28410,6.53683985093238e-05,1.59318934937281e-05,6.75251350747458e-05
28411,6.30914741664512e-05,1.59318934937281e-05,6.75251350747458e-05
28412,6.8447709655519e-05,1.59318934937281e-05,6.75251350747458e-05
28413,6.8447709655519e-05,1.84434691769891e-05,7.0455196162645e-05
28414,7.09013453630439e-05,1.59318934937281e-05,6.75251350747458e-05
28415,6.86244210201713e-05,1.33842948701322e-05,5.83292358146631e-05
28416,7.09013453630439e-05,1.33842948701322e-05,5.83292358146631e-05
28417,8.01274707849928e-05,4.79959437989391e-05,0.0001382817
28418,8.19478669562532e-05,4.79959437989391e-05,0.0001382817
28419,7.83669220874947e-05,4.79959437989391e-05,0.0001382817
28420,8.01274707849928e-05,4.79959437989391e-05,0.0001382817
28421,8.01274707849928e-05,4.79959437989391e-05,0.0001382817
28422,8.01274707849928e-05,5.85026551357508e-05,0.0001505391
28423,8.38238541634459e-05,5.85026551357508e-05,0.0001505391
28424,8.01274707849928e-05,6.04866867717497e-05,0.0001577007
28425,8.28798120603218e-05,6.17899600028736e-05,0.0001644017
28426,7.53421614093239e-05,5.97905713226481e-05,0.0001613985
28427,7.53421614093239e-05,5.97905713226481e-05,0.0001613985
28428,7.37191994104e-05,5.97905713226481e-05,0.0001613985
28429,9.45114042123693e-05,8.12487875562958e-05,0.0002058529
28430,8.29459836045774e-05,7.11567862573623e-05,0.0001866394
28431,7.8854855006364e-05,7.41012970960015e-05,0.0001942125
28432,8.192218443847e-05,7.330526440449e-05,0.0001935643
28433,7.3078775867401e-05,7.13058757242647e-05,0.0001905611
28434,7.46196471588933e-05,6.33701941643231e-05,0.0001765448
28435,7.62426091578173e-05,6.33701941643231e-05,0.0001765448
28436,7.46196471588933e-05,6.33701941643231e-05,0.0001765448
28437,7.48124214468e-05,6.33701941643231e-05,0.0001765448
28438,7.48124214468e-05,6.33701941643231e-05,0.0001765448
28439,7.83596303603246e-05,7.06098222367294e-05,0.0001911042
28440,7.99005016518169e-05,7.06098222367294e-05,0.0001911042
28441,7.63532927382924e-05,6.12429959822405e-05,0.0001688664
28442,7.83596303603246e-05,6.84826240546467e-05,0.0001834258
28443,8.15234636507407e-05,6.84826240546467e-05,0.0001834258
28444,7.79762547372163e-05,6.12429959822405e-05,0.0001688664
28445,7.48124214468e-05,5.92589643462415e-05,0.0001617048
28446,7.63532927382924e-05,5.92589643462415e-05,0.0001617048
28447,7.15523177267874e-05,5.6003037290743e-05,0.0001477269
28448,7.31752797257113e-05,5.6003037290743e-05,0.0001477269
28449,7.31752797257113e-05,6.2398282815657e-05,0.0001561828
28450,8.40973643326343e-05,7.00353037933764e-05,0.0001747901
28451,7.8854855006364e-05,6.1991272601814e-05,0.0001586131
28452,7.95583628412788e-05,4.88690675263301e-05,0.0001375482
28453,7.95583628412788e-05,5.06448649937815e-05,0.0001396199
28454,8.17252445248915e-05,5.06448649937815e-05,0.0001396199
28455,8.30309493990969e-05,5.96422597113978e-05,0.0001522213
28456,7.40267876362813e-05,4.93766855418072e-05,0.0001327075
28457,7.66819112336656e-05,4.71033959121868e-05,0.0001250089
28458,7.66819112336656e-05,5.37930379321231e-05,0.0001381002
28459,7.48615150624052e-05,5.37930379321231e-05,0.0001381002
